candle_begin_time,open,high,low,close,volume
2021-04-18 18:15:00,55315.1,55315.1,55060.6,55156.1,21.50654814
2021-04-18 18:16:00,55158.1,55158.1,55076.9,55116.7,11.57761715
2021-04-18 18:17:00,55118.2,55190.0,55110.6,55114.6,18.45467862
2021-04-18 18:18:00,55114.6,55145.0,55062.4,55063.8,14.58215709
2021-04-18 18:19:00,55063.8,55106.9,55020.8,55039.0,20.22411247
2021-04-18 18:20:00,55039.1,55151.3,54780.0,55031.3,184.72820721
2021-04-18 18:21:00,55031.3,55044.4,54735.8,54792.9,50.54084479
2021-04-18 18:22:00,54792.9,54928.7,54792.9,54868.7,12.98741393
2021-04-18 18:23:00,54868.6,54868.6,54713.4,54759.5,16.24421048
2021-04-18 18:24:00,54748.8,54827.7,54702.0,54827.7,18.07196566
2021-04-18 18:25:00,54831.8,54831.8,54696.0,54700.6,16.89210391
2021-04-18 18:26:00,54696.1,54773.1,54600.0,54721.9,16.87570767
2021-04-18 18:27:00,54722.0,54898.2,54721.9,54880.2,15.31069123
2021-04-18 18:28:00,54880.3,54998.4,54880.3,54917.4,12.25548408
2021-04-18 18:29:00,54917.4,54989.8,54772.1,54801.1,17.85613056
2021-04-18 18:30:00,54801.0,54885.9,54733.8,54836.4,7.41689541
2021-04-18 18:31:00,54817.0,54995.2,54817.0,54995.2,11.95177815
2021-04-18 18:32:00,54995.2,55047.2,54902.8,54910.0,17.5445988
2021-04-18 18:33:00,54909.9,54952.6,54817.2,54914.1,8.53807824
2021-04-18 18:34:00,54914.0,55061.0,54914.0,54999.8,8.1195719
2021-04-18 18:35:00,54999.8,55122.0,54993.4,55000.0,10.33537477
2021-04-18 18:36:00,55000.0,55050.0,54975.8,55009.2,2.67584131
2021-04-18 18:37:00,55021.6,55058.4,54950.6,54950.6,1.81309403
2021-04-18 18:38:00,54952.8,54976.6,54790.8,54790.8,4.18243464
2021-04-18 18:39:00,54803.2,54831.8,54707.2,54738.9,7.12102123
2021-04-18 18:40:00,54739.0,54891.9,54739.0,54855.4,10.54355122
2021-04-18 18:41:00,54855.3,54914.6,54835.5,54887.0,1.64869115
2021-04-18 18:42:00,54887.1,55003.4,54887.1,54933.0,2.18677372
2021-04-18 18:43:00,54949.0,55028.0,54949.0,55023.5,1.9865769
2021-04-18 18:44:00,55023.5,55040.7,54928.1,54944.5,5.2846941
2021-04-18 18:45:00,54951.0,55074.9,54951.0,55071.0,3.60239424
2021-04-18 18:46:00,55070.9,55145.6,55070.5,55143.3,9.52629157
2021-04-18 18:47:00,55143.2,55143.2,55074.0,55125.1,7.48832044
2021-04-18 18:48:00,55125.0,55149.0,55071.3,55105.3,6.37948801
