candle_begin_time,open,high,low,close,volume
2020-01-27,8459.6,8800.0,8451.4,8783.4,18476.73746594
2020-01-28,8783.4,9190.0,8751.2,9025.8,29238.42692138
2020-01-29,9025.9,9436.4,8900.0,9285.0,21672.29297722
2020-01-30,9285.6,9443.7,9200.0,9385.2,13526.50645399
2020-01-31,9385.3,9576.1,9211.2,9336.7,20858.11843815
2020-02-01,9336.7,9463.4,9257.4,9335.5,9473.45190113
2020-02-02,9335.6,9473.1,9159.0,9448.3,14012.32410168
2020-02-03,9448.3,9609.7,9264.9,9265.0,17819.67201554
2020-02-04,9265.0,9353.8,9096.6,9207.5,17245.47095279
2020-02-05,9207.6,9493.8,9152.3,9484.4,17169.4634188
2020-02-06,9484.6,9865.1,9473.3,9789.2,23726.99701068
2020-02-07,9789.2,9888.0,9666.0,9805.0,15540.32296293
2020-02-08,9805.1,9868.7,9669.0,9828.6,13645.4296859
2020-02-09,9828.7,10164.1,9811.7,10097.7,16908.65056736
2020-02-10,10097.8,10185.2,9750.0,9865.0,22300.94363229
2020-02-11,9865.0,10194.2,9712.2,10164.4,22261.01839408
2020-02-12,10164.9,10451.9,10150.1,10318.4,26512.27077755
2020-02-13,10318.3,10502.0,10085.6,10255.8,45926.72665869
2020-02-14,10257.0,10350.0,10110.4,10251.0,32591.29932779
2020-02-15,10251.1,10377.6,9802.6,9981.7,29188.33455701
2020-02-16,9981.6,10102.9,9811.0,9862.6,34000.99349629
2020-02-17,9862.6,9998.0,9455.0,9637.3,52185.04085691
2020-02-18,9638.8,9867.4,9578.2,9829.3,37482.55863234
2020-02-19,9829.3,10253.3,9816.2,10123.0,39775.1203184
2020-02-20,10123.1,10265.0,9300.0,9572.2,49214.00786834
2020-02-21,9572.2,9754.8,9400.0,9720.2,34923.13657939
2020-02-22,9720.3,9739.8,9560.0,9630.2,29065.85158943
2020-02-23,9630.2,9993.6,9602.9,9864.1,40067.28097755
2020-02-24,9864.2,9989.3,9520.0,9697.9,39943.52539434
2020-02-25,9698.0,9729.9,9359.2,9398.7,50411.78572006
2020-02-26,9398.6,9462.6,8969.2,8996.7,47953.14555581
2020-02-27,8996.7,9030.0,8526.1,8846.1,70589.41124304
2020-02-28,8846.2,8977.0,8440.7,8716.6,54034.82934786
2020-02-29,8716.3,8792.0,8479.7,8648.4,51615.67796054
2020-03-01,8648.5,8750.5,8515.2,8557.8,45649.70989151
2020-03-02,8558.7,8884.0,8413.6,8831.0,52285.87648497
2020-03-03,8831.0,8962.0,8660.0,8751.7,61205.7762162
2020-03-04,8750.6,8847.3,8650.8,8701.1,46411.62220878
