candle_begin_time,open,high,low,close,volume
2017-11-18,7953.2,7989.1,7450.0,7695.5,3327.9371866
2017-11-19,7704.6,7875.9,7623.1,7745.1,1496.4941044
2017-11-20,7745.1,8248.6,7727.9,8184.5,2526.38584668
2017-11-21,8185.4,8392.4,7854.6,8370.1,2412.74663546
2017-11-22,8374.6,8406.3,8121.8,8273.0,1931.0543346
2017-11-23,8273.0,8405.0,8120.0,8255.0,1988.38020718
2017-11-24,8256.6,8499.0,7981.0,8131.0,5623.77972372
2017-11-25,8131.5,8620.0,8077.0,8581.3,3330.7619868
2017-11-26,8581.3,9078.9,8559.1,9057.1,3443.8989801
2017-11-27,9057.1,9710.9,9031.6,9575.4,6002.25870756
2017-11-28,9575.8,9988.7,9398.3,9830.4,16271.49507788
2017-11-29,9830.4,11308.1,9778.3,10810.9,10564.14271354
2017-11-30,10810.9,10997.4,8900.0,9133.1,28242.77719896
2017-12-01,9133.1,10671.5,9097.4,10482.7,22079.51817318
2017-12-02,10482.7,11199.6,10368.0,10706.0,26090.38011986
2017-12-03,10706.0,11770.4,10706.0,11727.4,15530.68430484
2017-12-04,11727.5,11800.0,10522.0,11306.6,9552.34867756
2017-12-05,11305.9,11900.0,11109.2,11776.6,6031.43975042
2017-12-06,11776.6,12880.0,11574.9,12476.7,7674.33518018
2017-12-07,12476.7,15552.4,12338.3,15465.9,13074.15820574
2017-12-08,15465.9,17387.7,14004.0,15400.0,18180.3714651
2017-12-09,15400.0,16249.2,14111.0,14422.0,11518.89966648
2017-12-10,14422.0,15557.9,12750.0,15361.5,16975.31425758
2017-12-11,15361.5,16573.9,14386.0,16332.8,11662.95834106
2017-12-12,16323.1,17500.0,15511.0,16068.1,14319.98455176
2017-12-13,16068.1,16704.4,15076.3,15917.5,10999.56586042
2017-12-14,15917.5,16355.0,15271.5,15907.0,8780.23514748
2017-12-15,15907.0,17992.3,15792.0,17457.2,9319.3512909
2017-12-16,17450.6,18867.9,16997.0,18856.7,7623.05500746
2017-12-17,18856.7,19821.9,18441.1,19200.0,7110.26762932
2017-12-18,19200.0,19414.8,17700.7,18679.3,10738.25781162
2017-12-19,18679.3,18823.9,17000.0,17312.1,12223.69888238
2017-12-20,17312.1,17930.0,15564.0,16473.3,16296.75673648
2017-12-21,16473.3,17300.0,14973.8,15268.5,15429.61373744
2017-12-22,15268.8,15758.0,11088.0,12726.4,37743.44326432
2017-12-23,12738.4,14633.0,11974.8,14191.2,26539.76434034
2017-12-24,14191.2,14754.3,11600.0,12570.2,21997.10410252
2017-12-25,12578.6,14300.0,12018.0,13515.5,18763.05876612
2017-12-26,13515.5,15811.8,13374.8,15676.6,14674.84089084
2017-12-27,15676.6,16500.0,14981.6,15167.1,23171.51603268
2017-12-28,15167.1,15617.8,13250.0,14063.3,23734.6025517
2017-12-29,14063.3,14990.0,13410.4,14555.9,12590.21431016
2017-12-30,14555.9,14780.7,12048.0,12432.4,22722.38306388
2017-12-31,12436.2,13434.8,11843.8,13234.7,23750.0460184
2018-01-01,13234.7,14086.0,12752.9,13167.6,24226.96540406
2018-01-02,13167.6,13907.7,12976.6,13652.8,23734.68713374
2018-01-03,13652.8,15336.3,13652.8,14986.0,28075.49348178
2018-01-04,14986.0,15311.5,14130.0,14429.8,27568.39453794
2018-01-05,14429.8,16269.8,14352.9,16067.4,28621.08936042
2018-01-06,16067.4,17122.9,16067.4,16560.6,28365.53793434
2018-01-07,16560.6,17137.4,16346.9,16484.5,24409.97168628
2018-01-08,16484.5,16498.8,13666.0,14368.7,40207.27957172
2018-01-09,14368.7,15320.0,14017.1,14633.7,39684.56015668
2018-01-10,14633.7,14980.0,13407.0,14303.4,31771.362768
2018-01-11,14303.4,14925.3,12600.0,13983.5,48990.18192048
2018-01-12,13982.4,14155.8,12767.9,13383.8,34200.89744764
2018-01-13,13383.3,14800.0,13234.1,14274.6,41143.49258324
2018-01-14,14274.6,14361.5,12559.5,12645.3,39665.69082662
2018-01-15,12645.3,14198.3,12504.0,13938.5,41754.59090726
2018-01-16,13939.4,14027.7,11006.1,11933.1,62749.56112012
2018-01-17,11933.1,11933.1,9150.0,9407.0,88623.13852398
2018-01-18,9407.0,11808.9,9407.0,11596.5,73658.9698683
2018-01-19,11595.3,11800.0,10561.0,11446.6,60527.4849694
2018-01-20,11446.6,12746.5,11000.0,12510.9,33686.4657536
2018-01-21,12510.9,12990.0,11485.8,11485.8,52358.07926726
2018-01-22,11483.3,11855.9,10265.3,10436.3,55186.15403416
2018-01-23,10436.3,10982.6,9970.0,10723.6,71898.41251664
2018-01-24,10723.6,11490.1,10483.8,11077.8,52588.47827888
2018-01-25,11078.9,11720.3,10900.0,11038.3,49369.6614552
2018-01-26,11038.3,11668.6,10333.0,11032.8,55412.20220348
2018-01-27,11032.8,11500.3,10775.2,11478.3,42401.53884794
2018-01-28,11478.3,13891.0,10600.0,11753.0,41232.57443338
2018-01-29,11753.0,11944.0,11111.0,11389.9,29502.93287852
2018-01-30,11389.9,11464.0,10236.3,10334.4,54446.25899346
2018-01-31,10334.4,10515.0,9712.0,10028.9,67363.9800037
2018-02-01,10028.9,10300.0,9268.0,9341.5,84393.73924612
2018-02-02,9341.5,9539.9,8050.0,9072.0,121979.33599466
2018-02-03,9076.5,9473.1,8260.0,9188.9,70083.94961652
2018-02-04,9188.9,9470.6,8450.0,8837.6,46148.59622108
2018-02-05,8837.6,8837.6,7222.0,7424.6,111437.62581668
2018-02-06,7424.6,7511.3,6032.3,7310.1,224460.42998228
2018-02-07,7310.1,8499.9,6810.0,8165.4,148806.61702282
2018-02-08,8166.7,8700.8,7400.0,8245.1,24466.905033
2018-02-09,8244.0,8494.0,7760.0,8364.0,29833.4692159
2018-02-10,8363.6,9036.7,8269.8,8311.9,28202.50304594
2018-02-11,8301.0,8569.4,7820.2,8426.0,59853.36476028
2018-02-12,8426.0,8838.0,8024.0,8640.0,54456.44877326
2018-02-13,8640.0,8976.8,8360.0,8500.0,51155.30440702
2018-02-14,8504.9,9307.3,8474.3,9307.3,49117.46895782
2018-02-15,9307.3,9897.0,9182.2,9774.0,48091.9680863
2018-02-16,9774.0,10274.9,9663.3,10009.3,54942.39549848
2018-02-17,10016.9,10860.0,9888.0,10709.0,50136.95876568
2018-02-18,10716.1,11249.0,10112.0,10594.7,50648.98816708
2018-02-19,10594.7,11230.0,10302.0,11187.9,50715.81805532
2018-02-20,11183.0,11649.9,10900.0,11497.4,50086.38767654
2018-02-21,11497.4,11774.0,10410.0,10583.0,55021.862312
2018-02-22,10555.8,10919.2,9750.0,9990.9,45602.3578394
2018-02-23,10004.6,10400.0,9560.0,10305.1,49084.82644756
2018-02-24,10300.1,10495.0,9570.0,9731.5,49269.82221156
2018-02-25,9739.6,9839.7,9285.0,9399.9,45152.86662408
2018-02-26,9378.5,10360.6,9291.9,10277.9,51055.98684562
2018-02-27,10277.9,10874.3,10129.8,10583.7,51847.91542404
2018-02-28,10589.4,11070.0,10372.0,10507.7,51786.87336898
2018-03-01,10501.5,10845.6,10233.0,10717.6,49468.93049028
2018-03-02,10702.8,11188.1,10681.6,10854.9,49228.11382394
2018-03-03,10854.9,11497.9,10778.9,11479.9,50409.45274304
2018-03-04,11479.9,11520.0,11067.5,11142.1,47382.97982608
2018-03-05,11133.3,11619.9,11107.5,11505.8,46195.12829926
2018-03-06,11504.1,11684.6,10804.7,10972.5,47997.95889018
2018-03-07,10963.9,10998.8,10410.0,10662.9,48257.93880352
2018-03-08,10669.4,10706.1,9411.6,9889.9,57834.44386176
2018-03-09,9894.4,9899.0,8350.0,8931.7,67669.5614664
2018-03-10,8931.7,9487.9,8650.0,9359.9,54778.4946826
2018-03-11,9351.6,9423.8,8446.3,9062.7,54511.6722617
2018-03-12,9072.8,9890.0,9062.7,9177.9,46511.81964542
2018-03-13,9177.9,9489.0,8763.8,9071.1,39437.32172956
2018-03-14,9078.8,9344.0,8580.0,8719.5,35520.77227336
2018-03-15,8723.9,8724.9,7670.0,8109.7,49227.84506622
2018-03-16,8100.0,8600.0,7906.5,8540.0,35811.66858354
2018-03-17,8536.6,8581.7,7847.1,7889.9,35818.99374694
2018-03-18,7888.6,8052.0,7319.0,7380.8,41212.81345438
2018-03-19,7390.0,8683.0,7325.8,8564.6,56439.48159228
2018-03-20,8560.6,8659.0,8251.0,8512.9,40536.94385646
2018-03-21,8512.9,9178.9,8510.0,9042.1,35896.99890066
2018-03-22,9042.1,9100.0,8483.6,8619.8,40396.92274278
2018-03-23,8619.8,8760.0,8300.0,8611.0,39187.55066232
2018-03-24,8635.0,8998.9,8551.1,8943.4,24350.4577088
