candle_begin_time,open,high,low,close,volume
2018-12-23,3829.6,4024.2,3795.0,3906.2,52159.82569683
2018-12-24,3908.0,4197.9,3885.5,4019.0,66002.89209903
2018-12-25,4018.7,4075.0,3650.0,3688.0,68248.11377761
2018-12-26,3690.7,3831.0,3657.8,3705.6,50017.54202509
2018-12-27,3706.3,3811.3,3667.6,3719.2,42202.45940091
2018-12-28,3719.1,3805.0,3534.6,3780.3,46537.15857822
2018-12-29,3780.9,3885.7,3772.3,3821.1,42717.9686603
2018-12-30,3820.4,3880.0,3659.2,3769.0,41373.47677305
2018-12-31,3769.0,3825.0,3697.3,3752.6,39941.36061792
2019-01-01,3754.1,3775.9,3644.0,3681.9,39533.21178172
2019-01-02,3682.0,3843.4,3638.0,3802.6,41686.9448446
2019-01-03,3802.8,3882.8,3784.3,3806.1,38271.25118073
2019-01-04,3805.8,3806.9,3700.0,3723.7,36706.13925959
2019-01-05,3723.7,3837.1,3716.1,3784.5,39659.47441892
2019-01-06,3785.2,3824.4,3740.5,3805.0,34392.37770863
2019-01-07,3805.0,4030.0,3798.4,3970.3,45688.31723887
2019-01-08,3970.3,4065.0,3858.2,3999.5,44879.73435461
2019-01-09,3999.5,4006.5,3929.0,3957.1,29804.48111072
2019-01-10,3956.8,3996.4,3710.0,3728.3,47794.00078168
2019-01-11,3728.3,3729.2,3540.0,3584.5,43001.41652603
2019-01-12,3584.5,3649.0,3525.1,3590.9,29146.86153
2019-01-13,3590.9,3613.9,3560.0,3575.6,22678.31494903
2019-01-14,3576.0,3657.9,3446.2,3631.3,50203.53628311
2019-01-15,3630.9,3665.1,3579.6,3596.2,41116.8998069
2019-01-16,3596.2,3644.0,3520.0,3589.5,39885.59475449
2019-01-17,3589.5,3609.8,3533.4,3595.7,43058.12587702
2019-01-18,3595.7,3635.0,3570.5,3608.8,35130.54590065
2019-01-19,3608.8,3710.7,3564.7,3682.9,34334.40692973
2019-01-20,3682.9,3690.0,3478.0,3523.1,29809.74738052
2019-01-21,3523.3,3559.1,3506.0,3527.9,23846.52735534
2019-01-22,3527.8,3586.6,3436.0,3576.4,28695.9399143
2019-01-23,3576.4,3607.0,3544.0,3548.3,26594.96929071
2019-01-24,3548.3,3575.4,3521.0,3553.4,25483.27580846
2019-01-25,3553.4,3590.0,3524.9,3565.9,25704.08430431
2019-01-26,3566.0,3655.2,3542.2,3557.3,26810.52628695
2019-01-27,3557.3,3580.8,3493.3,3555.5,26419.97873019
2019-01-28,3555.9,3574.2,3383.0,3419.9,39599.44916245
2019-01-29,3419.7,3442.9,3351.2,3424.9,28601.74913696
2019-01-30,3424.1,3477.0,3390.0,3462.9,26401.82369933
2019-01-31,3462.9,3490.6,3421.0,3434.2,28615.24853968
2019-02-01,3435.1,3479.1,3403.4,3463.2,40393.13213207
2019-02-02,3462.6,3486.8,3441.3,3457.1,24589.27029897
2019-02-03,3457.1,3523.5,3447.1,3464.0,28248.65486709
