candle_begin_time,open,high,low,close,volume
2017-10-11,1.0,4901.0,1.0,4901.0,19.26
2017-10-12,4901.0,4999.0,4790.0,4989.0,0.580096
2017-10-13,4989.0,5922.0,4989.0,5741.7,20.7398427
2017-10-14,5741.7,5849.9,5473.7,5849.9,19.25958
2017-10-15,5849.9,5849.9,5686.4,5848.0,8.65860682
2017-10-16,5848.0,5848.0,5848.0,5848.0,0.0
2017-10-17,5848.0,5848.0,5501.0,5598.3,17.8620953
2017-10-18,5598.3,5635.0,5159.0,5159.0,10.70564906
2017-10-19,5159.0,5730.9,5159.0,5630.0,20.302
2017-10-20,5630.0,5998.9,5536.0,5900.0,36.32279216
2017-10-21,5900.0,6174.9,5849.0,6050.0,17.78255244
2017-10-22,6050.0,6098.0,5694.3,5987.5,41.36361304
2017-10-23,5987.5,6020.0,5682.0,5690.0,50.76682926
2017-10-24,5690.0,5927.8,5530.0,5719.8,20.0830425
2017-10-25,5719.8,5719.8,5355.0,5355.0,27.08908782
2017-10-26,5355.0,5920.0,5330.7,5920.0,51.4962065
2017-10-27,5920.0,5999.0,5612.8,5799.9,50.47808344
2017-10-28,5799.9,5841.0,5491.5,5521.8,85.31324588
2017-10-29,5521.8,5900.0,5521.8,5900.0,113.12553054
2017-10-30,5900.0,6200.2,5898.0,6041.2,241.49689098
2017-10-31,6041.2,6381.5,6017.1,6335.0,91.36575188
2017-11-01,6335.0,6612.9,6280.0,6544.1,332.73259208
2017-11-02,6544.1,7088.0,6544.1,7000.0,626.5592654
2017-11-03,7000.0,7360.5,6850.0,7318.5,398.83459578
2017-11-04,7318.5,7318.5,6974.8,7299.0,315.7
2017-11-05,7299.0,7500.0,7285.2,7453.3,388.38
2017-11-06,7453.3,7520.0,7100.0,7260.3,427.62
2017-11-07,7260.3,7279.8,6960.0,7048.9,429.24
2017-11-08,7031.9,7522.0,6958.0,7502.9,627.92
2017-11-09,7504.9,7799.0,7070.0,7145.2,1098.5
2017-11-10,7145.2,7250.0,6688.1,6792.8,1526.64
2017-11-11,6797.0,6933.5,6145.6,6249.7,2594.86109498
2017-11-12,6225.0,6460.3,5100.0,6175.3,5035.04158462
2017-11-13,6174.5,6689.9,5590.4,6586.9,2515.6
2017-11-14,6586.9,6656.6,6180.6,6459.5,1972.9
2017-11-15,6459.5,7249.9,6427.5,7235.0,1779.30993402
2017-11-16,7235.0,7546.5,7080.0,7480.0,3185.08659532
2017-11-17,7480.0,8020.2,7401.6,7953.2,3365.95368752
